PolicyName,PolicyType,PolicyDescription,PolicyOwnerType,PolicyOwner,PolicyEnabled,ExternalReference,Tags,Query1Name,Query1,Query2Name,Query2,ViolationOwnerType,ViolationOwner,MitigatingControls,CorrectionAdvice,Actions,PolicySchedule,CertificationName,CertificationDescription,CertificationSchedule
Sample Policy 48,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG48,Sample Right,tags:LEFT_TAG49,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 49,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG49,Sample Right,tags:LEFT_TAG50,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 50,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG50,Sample Right,tags:LEFT_TAG51,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 51,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG51,Sample Right,tags:LEFT_TAG52,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 52,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG52,Sample Right,tags:LEFT_TAG53,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 53,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG53,Sample Right,tags:LEFT_TAG54,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 54,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG54,Sample Right,tags:LEFT_TAG55,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 55,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG55,Sample Right,tags:LEFT_TAG56,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 56,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG56,Sample Right,tags:LEFT_TAG57,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 57,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG57,Sample Right,tags:LEFT_TAG58,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 58,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG58,Sample Right,tags:LEFT_TAG59,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 59,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG59,Sample Right,tags:LEFT_TAG60,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 60,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG60,Sample Right,tags:LEFT_TAG61,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 61,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG61,Sample Right,tags:LEFT_TAG62,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 62,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG62,Sample Right,tags:LEFT_TAG63,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 63,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG63,Sample Right,tags:LEFT_TAG64,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 64,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG64,Sample Right,tags:LEFT_TAG65,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 65,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG65,Sample Right,tags:LEFT_TAG66,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 66,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG66,Sample Right,tags:LEFT_TAG67,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 67,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG67,Sample Right,tags:LEFT_TAG68,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 68,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG68,Sample Right,tags:LEFT_TAG69,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 69,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG69,Sample Right,tags:LEFT_TAG70,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 70,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG70,Sample Right,tags:LEFT_TAG71,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 71,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG71,Sample Right,tags:LEFT_TAG72,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 72,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG72,Sample Right,tags:LEFT_TAG73,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 73,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG73,Sample Right,tags:LEFT_TAG74,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 74,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG74,Sample Right,tags:LEFT_TAG75,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 75,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG75,Sample Right,tags:LEFT_TAG76,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 76,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG76,Sample Right,tags:LEFT_TAG77,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 77,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG77,Sample Right,tags:LEFT_TAG78,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 78,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG78,Sample Right,tags:LEFT_TAG79,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 79,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG79,Sample Right,tags:LEFT_TAG80,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 80,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG80,Sample Right,tags:LEFT_TAG81,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 81,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG81,Sample Right,tags:LEFT_TAG82,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 82,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG82,Sample Right,tags:LEFT_TAG83,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 83,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG83,Sample Right,tags:LEFT_TAG84,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 84,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG84,Sample Right,tags:LEFT_TAG85,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 85,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG85,Sample Right,tags:LEFT_TAG86,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 86,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG86,Sample Right,tags:LEFT_TAG87,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 87,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG87,Sample Right,tags:LEFT_TAG88,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 88,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG88,Sample Right,tags:LEFT_TAG89,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 89,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG89,Sample Right,tags:LEFT_TAG90,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 90,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG90,Sample Right,tags:LEFT_TAG91,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 91,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG91,Sample Right,tags:LEFT_TAG92,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 92,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG92,Sample Right,tags:LEFT_TAG93,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 93,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG93,Sample Right,tags:LEFT_TAG94,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 94,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG94,Sample Right,tags:LEFT_TAG95,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 95,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG95,Sample Right,tags:LEFT_TAG96,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 96,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG96,Sample Right,tags:LEFT_TAG97,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 97,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG97,Sample Right,tags:LEFT_TAG98,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 98,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG98,Sample Right,tags:LEFT_TAG99,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 99,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG99,Sample Right,tags:LEFT_TAG100,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 100,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG100,Sample Right,tags:LEFT_TAG101,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
